Unnamed: 0,index,site_store,b2b_b2c,channel_id,region,city_level,store_concept,trade_term,area_range,store_type,urbanization,branch_area,address_2,address_3,showroom_area,warehouse_area,start_month,start_year,end_month,end_year,note,customer_id,customer_name
21,21,60000553,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,1f7dcaa5ed7365d779f5f160bdc7d36f602876fa4e99af3a2465,BPC,,,8,2010,,,,9157a3d3c,customer1662
22,22,60000554,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,2b3b8f37a403f22ea516b63b4e944bf3e51e438c2ed,VTU,,,8,2010,,,,3715883f8,customer1314
23,23,60000555,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,24d28b101c8b8c5cf879702dd0a49b050146b2641035,VTU,,,8,2010,,,,18d369f01,customer1045
24,24,60000556,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,c3d5467870cb10254f0336addd5e8690e990dc20421baa8ca7,BTN,,,8,2010,,,,e58053fe5,customer1443
25,25,60000558,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,3078955fa0b0dc68d0fa4be4b848dc0f3d22ba9,LAN,,,8,2010,,,,8e9e8fc6d,customer340
26,26,60000559,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,98b14b90782fcaf6283584e62f1e28e2a4f46c19b7536f9,HCM,,,8,2010,,,,de50d4ba9,customer1780
27,27,60001167,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,b5abd69721e29acf94c2022d69152ee4a8565db395,HCM,,,10,2010,,,,153d20c07,customer392
28,28,60002010,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,d7556a7d865649dbb783381dbd24bec935b0d2a6dfa0c940a3332440a2f7,BDG,,,3,2011,,,,aee3c6c2a,customer291
29,29,60002100,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,1a697e9adc5ffe56162b5a1d30d2092b65f48ff,HCM,,,7,2011,,,,f08b2965e,customer1308
30,30,60002115,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,c80a781c02ec152209df76dba6283c4ed19a0ecba5ed,TNH,,,9,2011,,,,89f802a1b,customer1557
31,31,60002151,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,2d6d239bdec9a809be26a7f4e6e7adcc1378216c3e2b,ĐNI,,,11,2011,,,,d4d368a24,customer487
32,32,60002180,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,2497db10c7adbc81dda5eff307184ed245f858d79,HCM,,,2,2012,,,,d8f7b7bb9,customer1943
33,33,60002256,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,82579b81b5a62617ceb1b2717c61bd52fb11b8af,HCM,,,8,2012,,,,3c5068312,customer1087
34,34,60002271,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,13e81ad9e059ab9f407380a6d420f369419bc19fe3343410b9983475a45,BDG,,,9,2012,,,,b3e663496,customer1502
35,35,60002284,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,5c4de14a477ad2c3549b2c98d9f9b3fccb75b1ab5,HCM,,,10,2012,,,,f40c1946b,customer1492
36,36,60002304,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,b579fbfea7e1521408150691381,HCM,,,11,2012,,,,4c024869c,customer1916
37,37,60002335,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,8b86199094350650dd6d70aa125f538605e4f,BDG,,,3,2013,,,,f23bcd669,customer403
38,38,60002360,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,ab7affcf9f8260055f83ac506b2afb6078d1d50f0e881a80db,HCM,,,4,2013,,,,593994cfb,customer902
39,39,60002401,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,128cc6bd7b72330bd7dcd7a3495b9b881f7ac9c625e46f2f7d,HCM,,,6,2013,,,,b96c52b9f,customer1074
40,40,60002460,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,260501317330fe65c0939a6cd9d78c3e410e17a7d476d0d87131,TNH,,,11,2013,,,,a9c153fdf,customer1625
41,41,60002540,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,b45c460553dcd2666e48fda0b4cab3f17ced812d93,HCM,,,4,2014,,,,39a7e0cd9,customer286
42,42,60002621,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,18c88ac8e7b81869af86ef52fbaa7d0426ee7ed4aaa39,BDG,,,7,2014,,,,3aedf8f8d,customer784
43,43,60002720,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,1f27962c15a6d57b60cdc55d763c8b3a1798039e9,HCM,,,12,2014,,,,1ee1c1332,customer273
44,44,60002766,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,351a69c6fa1c5cec1e941e550d,HCM,,,3,2015,,,,a55feb39b,customer882
45,45,60002855,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,c4eb092cb1fa2a5bfa43f19d6e6fe68efba6067f6eaebf73a606dd4e2e3,BDG,,,6,2015,,,,725245ab9,customer1249
46,46,60002925,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,ee4cece69e7a941e5ae740951fb8f626a10a2cf6d0983dae7d,HCM,,,10,2015,,,,a97e61529,customer888
47,47,60002934,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,4da307a668ce64036edc22c83f,HCM,,,10,2015,,,,757c21094,customer1296
48,48,60002962,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,c0cf69f2e3d6ceb608bf03d05c8004918bb97c9997,HCM,,,12,2015,,,,f3c7f96aa,customer1541
49,49,60002963,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,1824fd96ce17e55056a9905c3ebd1bcdbe5302b,HCM,,,12,2015,,,,c92c16f81,customer426
50,50,60002964,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,19ef358b7335fcc9cee61ba8d9ca61c4b309,BTN,,,12,2015,,,,824fb4bf7,customer643
51,51,60002998,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,93edb04590fc709f85ebcf8c00e3fabd5e61e00911fadd,LAN,,,3,2016,,,,d2d0c2a4c,customer864
52,52,60003007,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,b3415b608f5ed054ae9c0bd1b02d4a47f251bb003,HCM,,,3,2016,1,2020,,5a1647702,customer1220
53,53,60003008,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,17a80b3579d398e9dde5bfcd1,HCM,,,3,2016,1,2020,,9500142fd,customer1534
54,54,60003009,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,3467104f8f22f7d5571a5de598f,HCM,,,3,2016,1,2020,,0ec603524,customer1831
55,55,60003015,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,37e7d3c8a9c3d50928e6d8a835502d03823d3b27b1ceb,ĐNI,,,3,2016,1,2020,,90a32f631,customer695
56,56,60003016,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,b7b3babdbc7405d8208020ccf01c8f1a1baac4c0b2bf,BDG,,,3,2016,1,2020,,e69e17b99,customer1386
57,57,60003017,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,253c8f2382d1bb2073096afe6783af33af245fd2611d,HCM,,,3,2016,1,2020,,72254d526,customer330
58,58,60003018,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,9341a66d6c238bb0cf1724034989c38f834d9d8447fabdb6bf,BTN,,,3,2016,1,2020,,70ac8db0f,customer793
59,59,60003026,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,3216557f5463dc591bc90b4ba754afb0762b0bd67706d5,VTU,,,4,2016,1,2020,,9db55b33f,customer1815
60,60,60003037,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,dd7a35f018815ca1e0ee3f2503377377c48946624df,HCM,,,5,2016,,,,ac65efb1f,customer911
61,61,60003077,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,660309abdb475b643937cd851e5f1ea2d5dc57ec0f6eb0ef71,HCM,,,7,2016,,,,0034c4c3b,customer1348
62,62,60003241,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,1814f33ddffd44b45dfe3b1863,HCM,,,8,2017,,,,00b7e36a5,customer1885
63,63,60003255,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,1df42edcadf47e7b7e0687c107,HCM,,,9,2017,,,,9d0a962ab,customer1127
64,64,60003259,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,1f3795b5a642d34dc931a377004512888b76d5f8c7,TNH,,,10,2017,,,,3aa4bc343,customer796
65,65,60003278,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,4f6b4b757770c9bc0f458a59883d0778069887447d0da9b29,HCM,,,11,2017,,,,926889fce,customer621
66,66,60003300,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,30cec6c3b6c9dd1f054e011dd4b,HCM,,,12,2017,,,,e52d988a5,customer485
67,67,60003307,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,1cf6958f0f5e34ed986b47a39678cba64f5c45e6c94ecf,VTU,,,1,2018,,,,6976bccad,customer2023
68,68,60003314,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,2d7b764c0771e52ea8ea5a40c38a9bd51c122bbee73,TGG,,,1,2018,,,,4a67d2537,customer696
69,69,60003395,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,20ff6e36aab64a4dff2c447c86e61aad2939423b84b4cffef,HCM,,,6,2018,1,2020,,2064dba3c,customer364
70,70,60003396,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,70b3b6cae63a7414f7fb886f45,HCM,,,6,2018,1,2020,,1205a48ba,customer1368
71,71,60003397,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,23b67a88cbd9b405cb5d27b8161,HCM,,,6,2018,1,2020,,c0dc953d5,customer1195
72,72,60003410,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,822fdd2c2b46d2a7702df789bf238c89805c84be72b1,HCM,,,6,2018,1,2020,,9129f73da,customer1551
73,73,60003415,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,8fa8403b0bf730260e488cc05,HCM,,,6,2018,1,2020,,2df77fc02,customer1665
74,74,60003450,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,159fc14a2968a6b8bcb3019fb8b6ff521c6c911af,TNH,,,7,2018,,,,b4a2bc218,customer926
75,75,60003482,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,7d174b8542c8860761bec6a3aaa1c04954f05,BDG,,,9,2018,1,2020,,8311ff346,customer1181
76,76,60003496,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,7e45721f130ff032f65f82ba636895468f53e28c1,TGG,,,9,2018,,,,51d734209,customer1883
77,77,60003505,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,1c375332f62291fcec1b5ad9d8e02bf01da36b9e5,TNH,,,10,2018,,,,321fdcff4,customer418
78,78,60003517,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,1eb980750353f7cd3470d4d7c26bb84da25d9d66bcf371d83,LAN,,,11,2018,,,,cc787d8a3,customer1256
79,79,60003526,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,de9e296a96cfac50bf48086297aaf286b357d1939,BTN,,,11,2018,,,,1de7a4145,customer980
80,80,60003553,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,12c71e76cdcc7401bdfaf28a1da6f2f3325e70518c46569,BPC,,,12,2018,,,,e09cc8a13,customer1869
81,81,60003555,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,495d02a63e5ea5309e3993880058c309b88fe0eb2880c959f,HCM,,,12,2018,,,,41caf9329,customer1602
82,82,60003556,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,5962265de2553cbd6ac869ba8861b4f0423ab819ef62e4b,TNH,,,12,2018,,,,e6e5db37f,customer1203
83,83,60001451,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,24d7995e8f7614c1f67f0b0932cb1a8ab7f9014a0abf2153,HNI,,,1,2011,,,,d7e0eb044,customer505
84,84,60001462,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,f53493b07d80ebadd51a4d5c46119f15ee68b6570f,HNI,,,1,2011,,,,9593e81a9,customer1076
85,85,60001633,B2B,ST,KVMB,Cấp 1,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,78df9909595348bd7eb0c18fa2df41967c1caa07ebb9a6b1,HPG,,,1,2011,,,,d0da0b176,customer240
86,86,60001815,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,6d22f380a942131bc31f05749271a46fb98d25f967faf1,NĐH,,,1,2011,,,,b7f747acb,customer1091
87,87,60001883,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,2a31e58d29cc5f73a2e057f21c92a5bf84d4533249221,VPC,,,1,2011,,,,839e0aca1,customer1104
88,88,60002140,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,3816fe5c835bd4e105a764b6d925552a4b58f3efcd39ce17293,HDG,,,10,2011,,,,90677abb0,customer1932
89,89,60002240,B2B,ST,KVMB,Cấp 1,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,12b578392f3d7c58fb73b29d135ddf59c6c9b8f27cc9f73,HPG,,,6,2012,,,,9d8bd732b,customer486
90,90,60002370,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,cbe6018f25814267f6498617b94a31811675b26ecc6039,NBH,,,5,2013,,,,8bd1ab282,customer1318
91,91,60002371,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,20c1527123a1d1c4cc430b920114b3167f17ab651ded5bb,PTO,,,5,2013,,,,3339ee024,customer304
92,92,60002469,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,545d9b8dbc9ea907bb2d56e8d4ef28342f0bf730c7f4f,HNI,,,12,2013,,,,b2eb217ca,customer660
93,93,60002556,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,1b56ba112ad8f4bfeb107a77b860c92b09e99c0fb2b4728e063,HNI,,,4,2014,1,2020,,a571907f4,customer1824
94,94,60002557,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,963f734d8ef1af70dc56b9b1ce5a4044a13ad7f6763b,HNI,,,4,2014,1,2020,,be8db5a06,customer1981
95,95,60002559,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,1ffac3a97fe8c690ba309f3b08531b43677b3350dd6f5,HNI,,,4,2014,1,2020,,9984d1241,customer1102
96,96,60002560,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,193fc2f2e1d2790784f651273d51ff517d3da591d78bfa3,HNI,,,4,2014,1,2020,,99862450c,customer388
97,97,60002568,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,7e840bd45bbcf79fc5e22241c6210fbfe9267fcc645c67,HNI,,,4,2014,,,,3f9863303,customer667
98,98,60002569,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,10470549e1e760044abaeb022071a7e3331ed2e190b,HNI,,,4,2014,,,,d6c19591a,customer1584
99,99,60002691,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,2d0490cb9d0bbd6bfdd5cf88169b3768237397ed3889dcd,BGG,,,10,2014,,,,12e66ed49,customer1167
100,100,60002692,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,16b08488ffbc92f521147fca57941dc8fd11bf03ed1,QNH,,,10,2014,,,,d7c74864c,customer658
101,101,60002840,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,a6478b3a551820584a0c0eb9e0b3730799d43a289f1,QNH,,,5,2015,1,2020,,14114c775,customer440
102,102,60002841,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,c3c8bced459f731cd37b3ecc8041b416575c1db9833,HNI,,,5,2015,1,2020,,19009ca34,customer816
103,103,60002918,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,70ccaf4916da4e50f62b324f6407676bed52883a329,HNI,,,9,2015,,,,5689e995f,customer1998
104,104,60002923,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,ad3dfb144b1902045327e598d838399da24c5d233,HNI,,,10,2015,1,2020,,05a0fdf0a,customer450
105,105,60003004,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,a2da2e7b3d70d44505339be2400ae5cafcd9b2445efe5,HNI,,,4,2016,1,2020,,c174f4817,customer1242
