Year,Month,Month_3Char,Week,YearWeek,Start Date,End Date,CNY
2016,7,7,28,77fe8cc841d09947cfdc654414b9,2016-07-11,2016-07-17,No
2016,7,7,29,ca848a6f3dc7ef4c1b2a20c8c2023f,2016-07-18,2016-07-24,No
2016,7,7,30,44b8b5e56a831be95d9c75115cebd1,2016-07-25,2016-07-31,No
2016,8,8,31,238dd7f542d4f6dd1e3ffd92a7f2b,2016-08-01,2016-08-07,No
2016,8,8,32,237e35cd040c798d3b899ccf5bd6d,2016-08-08,2016-08-14,No
2016,8,8,33,9dacbacc17809d7850d025fb80c841,2016-08-15,2016-08-21,No
2016,8,8,34,c081475e1f65a72cb8fbb8e8721441,2016-08-22,2016-08-28,No
2016,9,9,35,816599acd2fff2578cad65f5b304f3,2016-08-29,2016-09-04,No
2016,9,9,36,1e78165ae40870dd59c6afe1c5db39,2016-09-05,2016-09-11,No
2016,9,9,37,556b100bc66255bcf078b0e4a9ba9,2016-09-12,2016-09-18,No
2016,9,9,38,fced4d790ad760141dea2fd6d5c9,2016-09-19,2016-09-25,No
2016,9,9,39,f364dc18171ebad34a6abd5fbb9ebb,2016-09-26,2016-10-02,No
2016,10,10,40,1f97ddc350926d6b720f2d45b0133,2016-10-03,2016-10-09,No
2016,10,10,41,f24b98867a88afee82009391a1953,2016-10-10,2016-10-16,No
2016,10,10,42,30b1439b55eac722e3fd7c35a10a5,2016-10-17,2016-10-23,No
2016,10,10,43,165c14d01ac6a386bd75b8629b56b5,2016-10-24,2016-10-30,No
2016,11,11,44,13c0df9637aaebfd7833c9c22370d,2016-10-31,2016-11-06,No
2016,11,11,45,31c67c114cbf0e422523285ae1fbd,2016-11-07,2016-11-13,No
2016,11,11,46,c45d11aa310b6119d0a7f345cf58ef,2016-11-14,2016-11-20,No
2016,11,11,47,6ab52df1388f31d8659888455bc2d,2016-11-21,2016-11-27,No
2016,12,12,48,16a312557c083785cb42d82e3ebb,2016-11-28,2016-12-04,No
2016,12,12,49,1374e2b12d687c651078a9fd53113,2016-12-05,2016-12-11,No
2016,12,12,50,7c3392ad1e8c4f7e9e0db7f851ead,2016-12-12,2016-12-18,No
2016,12,12,51,156926cb8123574d65a644e6f0c61,2016-12-19,2016-12-25,No
2016,12,12,52,12e041ca66cc7cd4d489acafed9f59,2016-12-26,2017-01-01,No
2017,1,1,1,747917ed32155e98d2e38781ac53d3,2017-01-02,2017-01-08,Yes
2017,1,1,2,d6f9738613de3d94468ff8f18e52b3,2017-01-09,2017-01-15,Yes
2017,1,1,3,c8f83c49add5e01c2234d315a8f1,2017-01-16,2017-01-22,Yes
2017,1,1,4,10209d82d0fa772828a683a631243d,2017-01-23,2017-01-29,Yes
2017,2,2,5,19a4fa01e60ee9b4e0eea6d3735c01,2017-01-30,2017-02-05,Yes
2017,2,2,6,6b9ee7656cc4e123d7d1636b4598b,2017-02-06,2017-02-12,No
2017,2,2,7,b3f16bb995319db16d3569748cd9ed,2017-02-13,2017-02-19,No
2017,2,2,8,db4f2556c55f992870e8a04bb8e65,2017-02-20,2017-02-26,No
2017,3,3,9,bff99fa8247e581c68b8605912ad,2017-02-27,2017-03-05,No
2017,3,3,10,1849a61c7bec38117677604d51fc5d,2017-03-06,2017-03-12,No
2017,3,3,11,939849323aecf03bbb354590ad16c9,2017-03-13,2017-03-19,No
2017,3,3,12,24dcedd1827c065b35a13e188acad,2017-03-20,2017-03-26,No
2017,3,3,13,3539352ec035161bd55f20202f7a1d,2017-03-27,2017-04-02,No
2017,4,4,14,28562968b30fbcb9242ef810453845,2017-04-03,2017-04-09,No
2017,4,4,15,788eb7318e5b200b90c1e3a67ce41,2017-04-10,2017-04-16,No
2017,4,4,16,2c77d260e1ef354e0c9359a5241ed5,2017-04-17,2017-04-23,No
2017,4,4,17,2edd069102ea4bc31e5e53e6d57977,2017-04-24,2017-04-30,No
2017,5,5,18,39e71f13802dbccfccf8091bf175fb,2017-05-01,2017-05-07,No
2017,5,5,19,9fef256ae9cb07628fcf2554037e5,2017-05-08,2017-05-14,No
2017,5,5,20,72b70122d251fcab54df8f7186a3f,2017-05-15,2017-05-21,No
2017,5,5,21,2ceb66a6083e27c4e64b31d3514ed,2017-05-22,2017-05-28,No
2017,6,6,22,11d9af8d447f322530ab41b99f3,2017-05-29,2017-06-04,No
2017,6,6,23,186a57e7fcc98339e50607699821,2017-06-05,2017-06-11,No
2017,6,6,24,78930831df39ea2f11c2e76776bf,2017-06-12,2017-06-18,No
2017,6,6,25,3b4ce589d7b93ffa8f6cb6d080faa9,2017-06-19,2017-06-25,No
2017,6,6,26,8cc9227a141a1bcd9547b3bd5d25,2017-06-26,2017-07-02,No
2017,7,7,27,1f43da174f496b4d7bb7c809c18ebd,2017-07-03,2017-07-09,No
2017,7,7,28,30ed5f3fb47c2adeae994591ead369,2017-07-10,2017-07-16,No
2017,7,7,29,85b3ea56666b7567341a56a84392c3,2017-07-17,2017-07-23,No
2017,7,7,30,fb464384c0c95d33203543eac5b,2017-07-24,2017-07-30,No
2017,8,8,31,89e6ac1f5bcf8aa2f83c9ef2d70d9,2017-07-31,2017-08-06,No
2017,8,8,32,4bc67e1d3007a4b013565cb50f3e35,2017-08-07,2017-08-13,No
2017,8,8,33,9a095c705f956b421bf8cafd596d,2017-08-14,2017-08-20,No
2017,8,8,34,37923d2663acd095673bc5352b59ff,2017-08-21,2017-08-27,No
2017,9,9,35,a563502d1ceb3583573136937e7c3,2017-08-28,2017-09-03,No
2017,9,9,36,38fe9b191238a466e2e3bd0a9ced1,2017-09-04,2017-09-10,No
2017,9,9,37,54d0dfdcd6764638c1be92739ff72d,2017-09-11,2017-09-17,No
2017,9,9,38,5a88b50d09554b08aacbbf0bc6cb,2017-09-18,2017-09-24,No
2017,9,9,39,8dc5b1afa861b1e6929f0224c730a1,2017-09-25,2017-10-01,No
2017,10,10,40,125cf2c0dd2414a5ab6255671e0a3,2017-10-02,2017-10-08,No
2017,10,10,41,ad94d384426272b8971232293cc8f,2017-10-09,2017-10-15,No
2017,10,10,42,1ee0077dd4dce6fb201bf1b347dba9,2017-10-16,2017-10-22,No
2017,10,10,43,6304ddbb023bee2bb7d927344ff27,2017-10-23,2017-10-29,No
2017,11,11,44,37598a041acceead30af5b12e34e7,2017-10-30,2017-11-05,No
2017,11,11,45,710a2e62aafeca6834bf53339cc97,2017-11-06,2017-11-12,No
2017,11,11,46,62621375b12b7de769aaf69e25b9bb,2017-11-13,2017-11-19,No
2017,11,11,47,5a45de4aabac1cdc87c654844dc69,2017-11-20,2017-11-26,No
2017,12,12,48,47b3b810317f556227cda618a7aab,2017-11-27,2017-12-03,No
2017,12,12,49,1940083b0a973ccab0b832d7cb14e1,2017-12-04,2017-12-10,No
2017,12,12,50,19a76d7997e1cc498c3274e5472cd,2017-12-11,2017-12-17,No
2017,12,12,51,2e80e7bf42c415e140bcf0de6987d,2017-12-18,2017-12-24,No
2017,12,12,52,111ac724d5f87d06090c833f263e7,2017-12-25,2017-12-31,No
2018,1,1,1,881d80c2a3bf63a0d44568c2ae47f9,2018-01-01,2018-01-07,No
2018,1,1,2,13d3702fbf3fdd5bf114d8c275e47,2018-01-08,2018-01-14,No
2018,1,1,3,60cf86105d00b823b00ea6c57918f,2018-01-15,2018-01-21,No
2018,1,1,4,7f72a33123c46e93e97ee6346b2b7,2018-01-22,2018-01-28,Yes
2018,2,2,5,29241828a992912927858205d3990b,2018-01-29,2018-02-04,Yes
2018,2,2,6,23b7a00a9fe9c5fcf6e36fc2b4343,2018-02-05,2018-02-11,Yes
2018,2,2,7,338982423256751038dd162cf1c6d,2018-02-12,2018-02-18,Yes
2018,2,2,8,dd8fd83df14e3e885254d3ea438429,2018-02-19,2018-02-25,Yes
2018,3,3,9,e3c438bad41b6992c8d095378c4cd,2018-02-26,2018-03-04,No
2018,3,3,10,3a3a804684ac7692e87bc1e0be761,2018-03-05,2018-03-11,No
2018,3,3,11,217d8e11d120acb0e4c23df478757,2018-03-12,2018-03-18,No
2018,3,3,12,46dc25c51b25cd02057a00c6c26017,2018-03-19,2018-03-25,No
2018,3,3,13,359835376da653315516e36f402cf1,2018-03-26,2018-04-01,No
2018,4,4,14,169f214024d35ad96cf313bf9209b,2018-04-02,2018-04-08,No
2018,4,4,15,12061c5950c17ec7aff516c1aa186f,2018-04-09,2018-04-15,No
2018,4,4,16,1b46570b3d8818bfd7bdb697f5d1f,2018-04-16,2018-04-22,No
2018,4,4,17,1cef9ad62b0155e492b5b5a572d1f,2018-04-23,2018-04-29,No
2018,5,5,18,dd97fce126209eae875a1a11139,2018-04-30,2018-05-06,No
2018,5,5,19,5f59212f01a1570e0d70d2c42b23,2018-05-07,2018-05-13,No
2018,5,5,20,603cfd987e47fdc72d30274f78035,2018-05-14,2018-05-20,No
2018,5,5,21,3765ff5f87d9af58b49c88e72f083,2018-05-21,2018-05-27,No
2018,6,6,22,ae6dc33c3abadf73c553e9ec827dd,2018-05-28,2018-06-03,No
2018,6,6,23,c92f414b32eccf5a919743bd4d80d,2018-06-04,2018-06-10,No
2018,6,6,24,24613131fd39e61e791ad9f4f7f54b,2018-06-11,2018-06-17,No
2018,6,6,25,1c636e75d9344cf87d4f6acba25d71,2018-06-18,2018-06-24,No
2018,6,6,26,397a3a8ba0ec85853644f575ffab,2018-06-25,2018-07-01,No
2018,7,7,27,4f722093376d5ba06ecb0115e34bff,2018-07-02,2018-07-08,No
2018,7,7,28,642cc4ebc1ae84ec474a2b30ddf88f,2018-07-09,2018-07-15,No
2018,7,7,29,1e7dedb2bdf74740df400b0254e7,2018-07-16,2018-07-22,No
2018,7,7,30,4da06f308eef57a87ace4c554bdddd,2018-07-23,2018-07-29,No
2018,8,8,31,33ab362c7b48a0ee65df826d967cbb,2018-07-30,2018-08-05,No
2018,8,8,32,3108018beae8502d80ad68d02623,2018-08-06,2018-08-12,No
2018,8,8,33,9c5e9a254ebe75c2f52bd570edcb3d,2018-08-13,2018-08-19,No
2018,8,8,34,e7a936f2a9b8ed42b734217f43f9,2018-08-20,2018-08-26,No
2018,9,9,35,1c5293fc392eac8da2d57384220499,2018-08-27,2018-09-02,No
2018,9,9,36,1510a15255773a3fa4ced35cec4277,2018-09-03,2018-09-09,No
2018,9,9,37,1371529719476c20f93e2682efdd3,2018-09-10,2018-09-16,No
2018,9,9,38,4d0d73c775663c0aa8bc47fbdf6ed,2018-09-17,2018-09-23,No
2018,9,9,39,26bbf75c5a5c90a1c94b48252f0c81,2018-09-24,2018-09-30,No
2018,10,10,40,29dd28156cc105e07351d3584bb13,2018-10-01,2018-10-07,No
2018,10,10,41,7d803e52a0b3fbfd8922cee80928f,2018-10-08,2018-10-14,No
2018,10,10,42,182b2a9ae3b140a5e2a0d80264b9e9,2018-10-15,2018-10-21,No
2018,10,10,43,2a5ea590a2a447ba8580df414ec471,2018-10-22,2018-10-28,No
2018,11,11,44,1fb8f3d167b2d63a275f3b636b903b,2018-10-29,2018-11-04,No
2018,11,11,45,27e6e61373daa383e43dce969f37f5,2018-11-05,2018-11-11,No
2018,11,11,46,71a4f7c4386c7549469c59742c8a93,2018-11-12,2018-11-18,No
2018,11,11,47,3f877827885048cca9b201429ed6e9,2018-11-19,2018-11-25,No
2018,12,12,48,2d13bc34c83a6dd5bd9cf8cf57547,2018-11-26,2018-12-02,No
2018,12,12,49,589929eee09ed9d121112ef2991f9,2018-12-03,2018-12-09,No
2018,12,12,50,1e916f07ee92414926bf455c4d2e3,2018-12-10,2018-12-16,No
2018,12,12,51,24a298254a3202d1596978846eb9f,2018-12-17,2018-12-23,No
2018,12,12,52,28126638d83e60d71902c4d3efd83,2018-12-24,2018-12-30,No
2019,1,1,1,5e74da50acc85067a48916b6ebc35,2018-12-31,2019-01-06,No
2019,1,1,2,18adf3e36fa5c1bb4315902800937d,2019-01-07,2019-01-13,No
2019,1,1,3,1d05df902999ad66d8ce286b9d82e7,2019-01-14,2019-01-20,Yes
2019,1,1,4,45f500ae2deca6ec3139f0fc896b7d,2019-01-21,2019-01-27,Yes
2019,2,2,5,12c9ee3e7f675100ebecbf7a3ec3f,2019-01-28,2019-02-03,Yes
2019,2,2,6,4709e12552a4560665bb610c02345,2019-02-04,2019-02-10,Yes
2019,2,2,7,74b3ce6c5d818721ef9fa52e1898bd,2019-02-11,2019-02-17,Yes
2019,2,2,8,82f589af15482267ee28c6bb32751,2019-02-18,2019-02-24,No
2019,3,3,9,56b657391188429a256ef6bdfc2d9,2019-02-25,2019-03-03,No
2019,3,3,10,11f6dfb70f54027021470133ac41c1,2019-03-04,2019-03-10,No
2019,3,3,11,761175c656bec30442e7cf1fa825b,2019-03-11,2019-03-17,No
2019,3,3,12,36d14b1deaf142c13c618facb01a89,2019-03-18,2019-03-24,No
2019,3,3,13,11b85d0f98db3741d5b7fdc6545cb,2019-03-25,2019-03-31,No
2019,4,4,14,2d2a51b3be9df9ba797cb7915e9fa7,2019-04-01,2019-04-07,No
2019,4,4,15,bb098b78b516e022165c51a71a677f,2019-04-08,2019-04-14,No
2019,4,4,16,7c96718bcbe5167bec106408b9535,2019-04-15,2019-04-21,No
2019,4,4,17,3becafc9b0b1f5b43d15298a51074b,2019-04-22,2019-04-28,No
2019,5,5,18,f52fce1112f38467dc32d0bcb9e3,2019-04-29,2019-05-05,No
2019,5,5,19,7501171381e996ab294dc6aa752a1,2019-05-06,2019-05-12,No
2019,5,5,20,1737d739d2a6a074596a576927bdc5,2019-05-13,2019-05-19,No
2019,5,5,21,2087e0980e4dea502b1d70ffb99c23,2019-05-20,2019-05-26,No
2019,6,6,22,1ba7b875c408db2afa2ce56bdacd1,2019-05-27,2019-06-02,No
2019,6,6,23,a9e578f566b61ddd3ce272dc3dc49,2019-06-03,2019-06-09,No
2019,6,6,24,62e84194361e4a3b5900d41bc35e7,2019-06-10,2019-06-16,No
2019,6,6,25,2ea4fe7ad888482ae6e6d94ab0b5b,2019-06-17,2019-06-23,No
2019,6,6,26,2da10308bdb06df5423a83c42695,2019-06-24,2019-06-30,No
2019,7,7,27,a52a23de0e8534fe0f77032d24b8db,2019-07-01,2019-07-07,No
2019,7,7,28,2e0831904bbabf82aadcdbad71c65f,2019-07-08,2019-07-14,No
2019,7,7,29,c735b4494e9515cc06c3eafb09275,2019-07-15,2019-07-21,No
2019,7,7,30,328c00585c03277d906669e8072f7,2019-07-22,2019-07-28,No
2019,8,8,31,221dacf2d19a9ff40079775fd4899,2019-07-29,2019-08-04,No
2019,8,8,32,16439d002264e2e51d36a79f8b073,2019-08-05,2019-08-11,No
2019,8,8,33,254ca6e2cded8b24b27477d5d5579,2019-08-12,2019-08-18,No
2019,8,8,34,1afeec237d08b50df7725adcf13dc5,2019-08-19,2019-08-25,No
2019,9,9,35,3f9856e56af4c56993206fee354f1,2019-08-26,2019-09-01,No
2019,9,9,36,39366b1de8704162c1993dc4f46e1,2019-09-02,2019-09-08,No
2019,9,9,37,39aa59454a6dd73c5b9eb76b7c0b77,2019-09-09,2019-09-15,No
2019,9,9,38,af8adc11cee17a0189b060080aa45b,2019-09-16,2019-09-22,No
2019,9,9,39,126a7433c98d8df087aa0756dd6a9,2019-09-23,2019-09-29,No
2019,10,10,40,257e93ebfea9611c5782751b2e5e9,2019-09-30,2019-10-06,No
2019,10,10,41,3599af9b75fb6104fb006bcdbfccf,2019-10-07,2019-10-13,No
2019,10,10,42,14899260f18618776805847746e15f,2019-10-14,2019-10-20,No
2019,10,10,43,f9b39f6a7c201a0cc636cdb1364f,2019-10-21,2019-10-27,No
2019,11,11,44,6a63239c2459f7f9627809f71d969,2019-10-28,2019-11-03,No
2019,11,11,45,e71151f37b8947bd6f762232fb28f,2019-11-04,2019-11-10,No
2019,11,11,46,3ef7208de406f51a4e84c2c9cf455,2019-11-11,2019-11-17,No
2019,11,11,47,e6d677b250d3f6679d54c3bdb21f39,2019-11-18,2019-11-24,No
2019,12,12,48,186f694d68276121ceb87ce2c3b55,2019-11-25,2019-12-01,No
2019,12,12,49,e3e47db50076483379003d0c5a8d,2019-12-02,2019-12-08,No
2019,12,12,50,723b3bce9db32a7c733ad66436d36d,2019-12-09,2019-12-15,No
2019,12,12,51,5a56e386af342f9f755287433f1e7,2019-12-16,2019-12-22,No
2019,12,12,52,1d6078796602a77e407b94d1924c3,2019-12-23,2019-12-29,No
2020,1,1,1,89fe2f5ca6dcff5713431e7311881,2019-12-30,2020-01-05,Yes
2020,1,1,2,42301fa8bd3161886c9d70a498973,2020-01-06,2020-01-12,Yes
2020,1,1,3,975f1f3290263d57e0703c0c493691,2020-01-13,2020-01-19,Yes
2020,1,1,4,2ee3083961ab2a1d0204d8eb90c805,2020-01-20,2020-01-26,Yes
2020,2,2,5,12c7a6fd14d88898d05192d0f23ab,2020-01-27,2020-02-02,Yes
2020,2,2,6,587d1c87c119fe698d5dd48a702687,2020-02-03,2020-02-09,No
2020,2,2,7,49c229465ed61807e12542b85b173,2020-02-10,2020-02-16,No
2020,2,2,8,b36cb052f9c80f5d971e06476e6bf,2020-02-17,2020-02-23,No
2020,3,3,9,acb6f1d380435cd9ee516a7cea671,2020-02-24,2020-03-01,No
2020,3,3,10,ab29b36d521fa8061fb014ec50243,2020-03-02,2020-03-08,No
2020,3,3,11,1493db69eb9f49f6dd564a023abe17,2020-03-09,2020-03-15,No
2020,3,3,12,213f54beb37cdba28a86d6f6609f7,2020-03-16,2020-03-22,No
2020,3,3,13,4325a4bf4d9293869662aa5f28625,2020-03-23,2020-03-29,No
2020,4,4,14,3af5c44f0607791b8d90c5fda7050f,2020-03-30,2020-04-05,No
2020,4,4,15,83978b14341535e37752dd12dc8eb,2020-04-06,2020-04-12,No
2020,4,4,16,6a6c5baa865a624523077d1a97bbf,2020-04-13,2020-04-19,No
2020,4,4,17,b7471d12a50116e1463b2bef067f3,2020-04-20,2020-04-26,No
2020,5,5,18,2d071112323aebeb116b58cbdfb71,2020-04-27,2020-05-03,No
2020,5,5,19,d617f84e65f5e60c5660102e41ed2f,2020-05-04,2020-05-10,No
2020,5,5,20,21339a1df31ce9bb98cda4bb838191,2020-05-11,2020-05-17,No
2020,5,5,21,32653a71a5a3ec0cdf32254aeeefc3,2020-05-18,2020-05-24,No
2020,6,6,22,140c90bb12ed9b72f9b0efb9e83197,2020-05-25,2020-05-31,No
2020,6,6,23,d1dddbf3114d9bd49a2748722fa7,2020-06-01,2020-06-07,No
2020,6,6,24,71785f117b497d6256c12a9a99961,2020-06-08,2020-06-14,No
2020,6,6,25,e0faeba1415e09b9c0b7b5697e4a9,2020-06-15,2020-06-21,No
2020,6,6,26,5d61846cbe8c6cab144025ddaf323,2020-06-22,2020-06-28,No
2020,7,7,27,e784a9d5a66767e63e324ddf00309,2020-06-29,2020-07-05,No
2020,7,7,28,36d82b11d934b736656ab6ba09e2f,2020-07-06,2020-07-12,No
2020,7,7,29,af7a3ab63306781c76bd7553ad01,2020-07-13,2020-07-19,No
2020,7,7,30,b7291cff5448122037fd8158bde97,2020-07-20,2020-07-26,No
2020,8,8,31,305f9dd1cd4169f61408174c3e98c1,2020-07-27,2020-08-02,No
2020,8,8,32,177dc3f9a2321e536c517610c882c7,2020-08-03,2020-08-09,No
2020,8,8,33,5e22ffee8ca73d06b6e756ebf6cc09,2020-08-10,2020-08-16,No
2020,8,8,34,4b53d65c8c2acf9be11f1fe2dbeec9,2020-08-17,2020-08-23,No
2020,9,9,35,b65280a8772f54562e1f1f655d6bb,2020-08-24,2020-08-30,No
2020,9,9,36,3a23f0dcbd3be99adbb997df294f5d,2020-08-31,2020-09-06,No
2020,9,9,37,d0f292fa71a8836280ef655ced71d,2020-09-07,2020-09-13,No
2020,9,9,38,7e8180c5f99969e56ab099406c445,2020-09-14,2020-09-20,No
2020,9,9,39,1acfa4b565084aede491b6727dde7,2020-09-21,2020-09-27,No
2020,10,10,40,e933a71747caa292470db4b45a8f,2020-09-28,2020-10-04,No
2020,10,10,41,54b1b7bf8366911f22e1a21f8302d,2020-10-05,2020-10-11,No
2020,10,10,42,747fe4f9b3df7136a579874a5ae099,2020-10-12,2020-10-18,No
2020,10,10,43,d6631a6e7772edaf7012df1c936b,2020-10-19,2020-10-25,No
2020,11,11,44,32047f4dc26051862b7981443053df,2020-10-26,2020-11-01,No
2020,11,11,45,718720ecb41431c15c420d7de5445,2020-11-02,2020-11-08,No
2020,11,11,46,1c9f5c0ee9d4f48fe2e2b89c35e327,2020-11-09,2020-11-15,No
2020,11,11,47,1b64893e2e7bb36b3964afd9fe017,2020-11-16,2020-11-22,No
2020,12,12,48,1d0da9e713a2337c33a4a363d23a3,2020-11-23,2020-11-29,No
2020,12,12,49,81cd9c0674366bb05bb56e03670c7,2020-11-30,2020-12-06,No
2020,12,12,50,39979ba9cef0646267e173e059fbb,2020-12-07,2020-12-13,No
2020,12,12,51,61bacffdda940f87c32b1917aba03,2020-12-14,2020-12-20,No
2020,12,12,52,20e75ce6749137c74f7f88fdb681f,2020-12-21,2020-12-27,No
